Sample_Name	Channel	Global_metrics	Metric	value
GSM8461137	green	BISULFITE CONVERSION I	BS Conversion I-U4	321
GSM8461137	green	BISULFITE CONVERSION I	BS Conversion I-U5	462
GSM8461137	green	BISULFITE CONVERSION II	BS Conversion II-1	796
GSM8461137	green	BISULFITE CONVERSION II	BS Conversion II-2	559
GSM8461137	green	BISULFITE CONVERSION II	BS Conversion II-3	1520
GSM8461137	green	BISULFITE CONVERSION II	BS Conversion II-4	642
GSM8461137	green	EXTENSION	Extension (A)	477
GSM8461137	green	EXTENSION	Extension (C)	20424
GSM8461137	green	EXTENSION	Extension (G)	17286
GSM8461137	green	EXTENSION	Extension (T)	471
GSM8461137	green	HYBRIDIZATION	Hyb (High)	18857
GSM8461137	green	HYBRIDIZATION	Hyb (Low)	6053
GSM8461137	green	HYBRIDIZATION	Hyb (Medium)	11290
GSM8461137	green	NON-POLYMORPHIC	NP (A)	854
GSM8461137	green	NON-POLYMORPHIC	NP (C)	9198
GSM8461137	green	NON-POLYMORPHIC	NP (G)	6045
GSM8461137	green	NON-POLYMORPHIC	NP (G) 1	567
GSM8461137	green	NON-POLYMORPHIC	NP (G) 2	513
GSM8461137	green	NON-POLYMORPHIC	NP (G) 3	524
GSM8461137	green	NON-POLYMORPHIC	NP (G) 4	441
GSM8461137	green	NON-POLYMORPHIC	NP (G) 5	375
GSM8461137	green	NON-POLYMORPHIC	NP (T)	757
GSM8461137	green	RESTORATION	Restore	18076
GSM8461137	green	SPECIFICITY I	GT Mismatch 1 (MM)	240
GSM8461137	green	SPECIFICITY I	GT Mismatch 1 (PM)	3721
GSM8461137	green	SPECIFICITY I	GT Mismatch 2 (MM)	343
GSM8461137	green	SPECIFICITY I	GT Mismatch 2 (PM)	5659
GSM8461137	green	SPECIFICITY I	GT Mismatch 3 (MM)	426
GSM8461137	green	SPECIFICITY I	GT Mismatch 3 (PM)	2491
GSM8461137	green	SPECIFICITY I	GT Mismatch 4 (MM)	321
GSM8461137	green	SPECIFICITY I	GT Mismatch 4 (PM)	467
GSM8461137	green	SPECIFICITY I	GT Mismatch 5 (MM)	221
GSM8461137	green	SPECIFICITY I	GT Mismatch 5 (PM)	458
GSM8461137	green	SPECIFICITY I	GT Mismatch 6 (MM)	332
GSM8461137	green	SPECIFICITY I	GT Mismatch 6 (PM)	260
GSM8461137	green	SPECIFICITY II	Specificity 1	420
GSM8461137	green	SPECIFICITY II	Specificity 2	486
GSM8461137	green	SPECIFICITY II	Specificity 3	460
GSM8461137	green	STAINING	Biotin (Bkg)	285
GSM8461137	green	STAINING	Biotin (High)	20687
GSM8461137	green	STAINING	Biotin(5K)	NA
GSM8461137	green	STAINING	DNP (Bkg)	454
GSM8461137	green	STAINING	DNP (High)	346
GSM8461137	green	STAINING	DNP(20K)	NA
GSM8461137	green	TARGET REMOVAL	Target Removal 1	404
GSM8461137	green	TARGET REMOVAL	Target Removal 2	529
GSM8461137	red	BISULFITE CONVERSION I	BS Conversion I-C1	560
GSM8461137	red	BISULFITE CONVERSION I	BS Conversion I-C2	1196
GSM8461137	red	BISULFITE CONVERSION I	BS Conversion I-C3	12707
GSM8461137	red	BISULFITE CONVERSION I	BS Conversion I-C4	9272
GSM8461137	red	BISULFITE CONVERSION I	BS Conversion I-C5	12117
GSM8461137	red	BISULFITE CONVERSION I	BS Conversion I-U1	367
GSM8461137	red	BISULFITE CONVERSION I	BS Conversion I-U2	632
GSM8461137	red	BISULFITE CONVERSION I	BS Conversion I-U3	1097
GSM8461137	red	BISULFITE CONVERSION I	BS Conversion I-U4	777
GSM8461137	red	BISULFITE CONVERSION I	BS Conversion I-U5	1940
GSM8461137	red	BISULFITE CONVERSION II	BS Conversion II-1	9123
GSM8461137	red	BISULFITE CONVERSION II	BS Conversion II-2	9336
GSM8461137	red	BISULFITE CONVERSION II	BS Conversion II-3	10577
GSM8461137	red	BISULFITE CONVERSION II	BS Conversion II-4	6542
GSM8461137	red	EXTENSION	Extension (A)	24614
GSM8461137	red	EXTENSION	Extension (C)	903
GSM8461137	red	EXTENSION	Extension (G)	789
GSM8461137	red	EXTENSION	Extension (T)	22968
GSM8461137	red	HYBRIDIZATION	Hyb (High)	1632
GSM8461137	red	HYBRIDIZATION	Hyb (Low)	414
GSM8461137	red	HYBRIDIZATION	Hyb (Medium)	628
GSM8461137	red	NON-POLYMORPHIC	NP (A)	11173
GSM8461137	red	NON-POLYMORPHIC	NP (C)	901
GSM8461137	red	NON-POLYMORPHIC	NP (G)	560
GSM8461137	red	NON-POLYMORPHIC	NP (G) 1	563
GSM8461137	red	NON-POLYMORPHIC	NP (G) 2	987
GSM8461137	red	NON-POLYMORPHIC	NP (G) 3	458
GSM8461137	red	NON-POLYMORPHIC	NP (G) 4	402
GSM8461137	red	NON-POLYMORPHIC	NP (G) 5	462
GSM8461137	red	NON-POLYMORPHIC	NP (T)	11969
GSM8461137	red	SPECIFICITY I	GT Mismatch 1 (MM)	298
GSM8461137	red	SPECIFICITY I	GT Mismatch 1 (PM)	551
GSM8461137	red	SPECIFICITY I	GT Mismatch 2 (MM)	416
GSM8461137	red	SPECIFICITY I	GT Mismatch 2 (PM)	625
GSM8461137	red	SPECIFICITY I	GT Mismatch 3 (MM)	259
GSM8461137	red	SPECIFICITY I	GT Mismatch 3 (PM)	398
GSM8461137	red	SPECIFICITY I	GT Mismatch 4 (MM)	1323
GSM8461137	red	SPECIFICITY I	GT Mismatch 4 (PM)	12143
GSM8461137	red	SPECIFICITY I	GT Mismatch 5 (MM)	493
GSM8461137	red	SPECIFICITY I	GT Mismatch 5 (PM)	8376
GSM8461137	red	SPECIFICITY I	GT Mismatch 6 (MM)	389
GSM8461137	red	SPECIFICITY I	GT Mismatch 6 (PM)	4720
GSM8461137	red	SPECIFICITY II	Specificity 1	12459
GSM8461137	red	SPECIFICITY II	Specificity 2	9503
GSM8461137	red	SPECIFICITY II	Specificity 3	9771
GSM8461137	red	STAINING	Biotin (Bkg)	556
GSM8461137	red	STAINING	Biotin (High)	358
GSM8461137	red	STAINING	Biotin(5K)	NA
GSM8461137	red	STAINING	DNP (Bkg)	598
GSM8461137	red	STAINING	DNP (High)	20982
GSM8461137	red	STAINING	DNP(20K)	NA
GSM8461137	red	TARGET REMOVAL	Target Removal 1	959
GSM8461137	red	TARGET REMOVAL	Target Removal 2	918
